label,frames,mean_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,p999_ms,mean_fps,one_pct_low_fps
asteroid_field-high,600,19.2724,16.9369,32.9334,18.4595,24.1056,29.5316,32.9334,51.89,33.86
asteroid_field-low,600,16.7322,11.7700,36.3272,15.7444,24.6302,28.9846,36.3272,59.77,34.50
broadside-high,600,21.2837,17.0643,75.1736,18.6402,28.1862,38.9145,75.1736,46.98,25.70
broadside-low,600,19.7549,15.9105,29.8601,19.1488,23.4485,26.1438,29.8601,50.62,38.25
shakedown_run-high,600,20.7494,19.6701,31.0786,20.5551,21.8953,23.9751,31.0786,48.19,41.71
shakedown_run-low,600,20.5055,15.8387,31.8298,20.4653,22.5209,25.7684,31.8298,48.77,38.81
