label,frames,mean_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,p999_ms,mean_fps,one_pct_low_fps
broadside-rest-high,300,19.0899,17.0717,30.0735,17.9370,24.5328,26.5562,30.0735,52.38,37.66
broadside-combat-high,300,29.3700,26.0222,43.3063,28.8225,33.7260,37.5487,43.3063,34.05,26.63
broadside-combat-low,300,26.0356,18.6627,47.7827,25.2831,34.0061,41.2255,47.7827,38.41,24.26
