window [11.0,14.0] anchor_frames=814
span                                                                     self_us/fr   total_us/fr
|system: name="bevy_pbr::prepass::update_mesh_previous_global_transfor         11.4          16.4
PhysicsSchedule|system: name="avian3d::collider_tree::optimization::op         10.9          10.9
PhysicsSchedule|system: name="nova_gameplay::juice::on_damage_juice"           10.8          10.8
|system: name="nova_ship::sections::turret_section::aim::update_turret         10.7          10.7
RunFixedMainLoop|system: name="bevy_transform_interpolation::reset_eas         10.6          15.5
|system: name="bevy_pbr::material::check_entities_needing_specializati         10.6          12.5
RunFixedMainLoop|system: name="bevy_transform_interpolation::ease_rota         10.1          13.7
|system: name="bevy_pbr::material::mark_meshes_as_changed_if_their_mat         10.0          12.8
PhysicsSchedule|system: name="nova_ship::input::ai::threat::on_damage_         10.0          10.0
PhysicsSchedule|system: name="nova_gameplay::integrity::health::on_dam          9.8           9.8
|system: name="<nova_gameplay::plugin::NovaGameplayPlugin as bevy_app:          9.7           9.7
|system: name="avian3d::physics_transform::position_to_transform"               8.9           8.9
|system: name="bevy_ui::stack::ui_stack_system"                                 8.6           8.6
PhysicsSchedule|system: name="nova_ship::sections::turret_section::fir          8.5           8.5
|system: name="nova_gameplay::integrity::neutralize::detect_neutralize          8.4           8.4
|system: name="nova_gameplay::gravity::gravity_well_system"                     8.3           8.3
|system: name="bevy_light::check_point_light_mesh_visibility"                   8.3           8.3
|system: name="nova_ship::input::ai::maneuver::update_controller_targe          8.1           8.1
StateTransition|multithreaded executor:                                         8.1           8.1
|system: name="<nova_probe::capabilities::framecost::FrameCostPlugin a          8.0           8.0
|par_for_each: query="&mut avian3d::dynamics::integrator::VelocityInte          8.0           8.0
FixedUpdate|system: name="<avian3d::collider_tree::update::ColliderTre          6.9           6.9
PostUpdate|pass: tag="0"                                                        6.7          38.4
|system: name="nova_ship::input::ai::torpedo::update_torpedo_section_i          6.4           6.4
