label,frames,mean_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,p999_ms,mean_fps,one_pct_low_fps
asteroid_field-high,120,126.5503,96.6889,166.1786,125.4380,152.8573,164.2634,166.1786,7.90,6.09
asteroid_field-low,120,117.8679,88.6131,163.6555,117.9403,142.0208,151.3442,163.6555,8.48,6.61
broadside-high,120,115.0519,82.7471,168.3229,111.4533,140.7148,166.7084,168.3229,8.69,6.00
broadside-low,120,98.8898,72.3828,133.8965,98.2504,118.7390,133.2727,133.8965,10.11,7.50
shakedown_run-high,120,86.5472,54.8475,124.3643,84.2673,112.4435,121.9236,124.3643,11.55,8.20
shakedown_run-low,120,85.7119,55.8965,132.4650,85.0112,115.4922,128.0164,132.4650,11.67,7.81
